FISCAL_YEAR_NAME,BC AREA NAME,REGIONAL DISTRICT NAME,PRODUCT CLASS NAME,SALE VOLUME (LITRES),RETAIL AMT ($)
Fiscal 2011/12,Kootenay,Kootenay Boundary Regional District,BEER,"1,121,588.10","4,587,984.07"
Fiscal 2011/12,Kootenay,Kootenay Boundary Regional District,REFRESHMENT BEVERAGE,"112,806.42","521,902.24"
Fiscal 2011/12,Kootenay,Kootenay Boundary Regional District,SPIRITS,"112,849.85","3,475,400.93"
Fiscal 2011/12,Kootenay,Kootenay Boundary Regional District,WINE,"276,588.00","3,231,715.84"
Fiscal 2011/12,Mainland and Southwest,Fraser Valley Regional District,BEER,"3,422,688.67","14,315,092.52"
Fiscal 2011/12,Mainland and Southwest,Fraser Valley Regional District,REFRESHMENT BEVERAGE,"447,838.14","2,091,705.83"
Fiscal 2011/12,Mainland and Southwest,Fraser Valley Regional District,SPIRITS,"611,317.49","18,757,380.48"
Fiscal 2011/12,Mainland and Southwest,Fraser Valley Regional District,WINE,"1,342,267.38","15,866,458.53"
Fiscal 2011/12,Mainland and Southwest,Greater Vancouver Regional District,BEER,"36,474,861.73","158,828,834.82"
Fiscal 2011/12,Mainland and Southwest,Greater Vancouver Regional District,REFRESHMENT BEVERAGE,"3,615,396.52","16,858,488.11"
Fiscal 2011/12,Mainland and Southwest,Greater Vancouver Regional District,SPIRITS,"5,546,996.97","184,208,779.05"
Fiscal 2011/12,Mainland and Southwest,Greater Vancouver Regional District,WINE,"16,303,708.64","244,889,612.11"
Fiscal 2011/12,Mainland and Southwest,Squamish-Lillooet Regional District,BEER,"2,533,466.36","10,851,510.84"
Fiscal 2011/12,Mainland and Southwest,Squamish-Lillooet Regional District,REFRESHMENT BEVERAGE,"295,319.45","1,346,153.54"
Fiscal 2011/12,Mainland and Southwest,Squamish-Lillooet Regional District,SPIRITS,"225,372.44","7,437,572.99"
Fiscal 2011/12,Mainland and Southwest,Squamish-Lillooet Regional District,WINE,"669,440.72","10,961,752.60"
Fiscal 2011/12,Mainland and Southwest,Sunshine Coast Regional District,BEER,"1,139,896.51","4,845,836.74"
Fiscal 2011/12,Mainland and Southwest,Sunshine Coast Regional District,REFRESHMENT BEVERAGE,"133,178.83","602,814.20"
Fiscal 2011/12,Mainland and Southwest,Sunshine Coast Regional District,SPIRITS,"156,851.46","4,923,504.41"
Fiscal 2011/12,Mainland and Southwest,Sunshine Coast Regional District,WINE,"490,552.51","6,357,832.37"
Fiscal 2011/12,Nechako,Bulkley-Nechako Regional District,BEER,"1,368,984.94","5,663,906.40"
Fiscal 2011/12,Nechako,Bulkley-Nechako Regional District,REFRESHMENT BEVERAGE,"134,334.53","641,023.55"
Fiscal 2011/12,Nechako,Bulkley-Nechako Regional District,SPIRITS,"154,101.08","4,774,027.38"
Fiscal 2011/12,Nechako,Bulkley-Nechako Regional District,WINE,"227,641.69","2,713,268.93"
Fiscal 2011/12,North Coast,Kitimat-Stikine Regional District,BEER,"772,134.94","3,211,951.78"
Fiscal 2011/12,North Coast,Kitimat-Stikine Regional District,REFRESHMENT BEVERAGE,"88,326.98","417,976.94"
Fiscal 2011/12,North Coast,Kitimat-Stikine Regional District,SPIRITS,"107,694.95","3,328,969.25"
Fiscal 2011/12,North Coast,Kitimat-Stikine Regional District,WINE,"197,814.15","2,308,790.90"
Fiscal 2011/12,North Coast,Skeena-Queen Charlotte Regional District,BEER,"459,827.32","1,914,840.39"
Fiscal 2011/12,North Coast,Skeena-Queen Charlotte Regional District,REFRESHMENT BEVERAGE,"51,533.46","238,863.06"
Fiscal 2011/12,North Coast,Skeena-Queen Charlotte Regional District,SPIRITS,"63,816.17","1,999,070.93"
Fiscal 2011/12,North Coast,Skeena-Queen Charlotte Regional District,WINE,"121,430.99","1,435,783.00"
Fiscal 2011/12,Northeast,Northern Rockies Regional District,BEER,"154,919.45","650,806.55"
Fiscal 2011/12,Northeast,Northern Rockies Regional District,REFRESHMENT BEVERAGE,"15,454.93","78,494.95"
Fiscal 2011/12,Northeast,Northern Rockies Regional District,SPIRITS,"24,335.39","750,455.18"
Fiscal 2011/12,Northeast,Northern Rockies Regional District,WINE,"22,350.10","288,271.72"
Fiscal 2011/12,Northeast,Peace River-Liard Regional District,BEER,"1,689,636.63","7,088,534.05"
Fiscal 2011/12,Northeast,Peace River-Liard Regional District,REFRESHMENT BEVERAGE,"163,619.50","823,487.74"
Fiscal 2011/12,Northeast,Peace River-Liard Regional District,SPIRITS,"223,396.89","6,929,585.46"
Fiscal 2011/12,Northeast,Peace River-Liard Regional District,WINE,"259,979.97","3,072,839.06"
Fiscal 2011/12,Thompson Okanagan,Central Okanagan Regional District,BEER,"3,423,425.34","14,381,014.50"
Fiscal 2011/12,Thompson Okanagan,Central Okanagan Regional District,REFRESHMENT BEVERAGE,"427,771.30","2,008,982.97"
Fiscal 2011/12,Thompson Okanagan,Central Okanagan Regional District,SPIRITS,"560,961.81","17,611,766.70"
Fiscal 2011/12,Thompson Okanagan,Central Okanagan Regional District,WINE,"1,546,270.26","20,786,030.41"
Fiscal 2011/12,Thompson Okanagan,Columbia-Shuswap Regional District,BEER,"1,191,292.22","4,951,842.75"
Fiscal 2011/12,Thompson Okanagan,Columbia-Shuswap Regional District,REFRESHMENT BEVERAGE,"121,864.22","574,892.01"
Fiscal 2011/12,Thompson Okanagan,Columbia-Shuswap Regional District,SPIRITS,"140,501.11","4,362,974.11"
Fiscal 2011/12,Thompson Okanagan,Columbia-Shuswap Regional District,WINE,"297,714.03","3,620,276.61"
Fiscal 2011/12,Thompson Okanagan,North Okanagan Regional District,BEER,"975,041.27","4,062,444.01"
Fiscal 2011/12,Thompson Okanagan,North Okanagan Regional District,REFRESHMENT BEVERAGE,"122,520.11","569,175.67"
Fiscal 2011/12,Thompson Okanagan,North Okanagan Regional District,SPIRITS,"156,730.85","4,902,045.58"
Fiscal 2011/12,Thompson Okanagan,North Okanagan Regional District,WINE,"386,073.33","4,916,435.56"
Fiscal 2011/12,Thompson Okanagan,Okanagan-Similkameen Regional District,BEER,"2,533,341.85","10,509,965.45"
Fiscal 2011/12,Thompson Okanagan,Okanagan-Similkameen Regional District,REFRESHMENT BEVERAGE,"314,575.54","1,460,250.59"
Fiscal 2011/12,Thompson Okanagan,Okanagan-Similkameen Regional District,SPIRITS,"327,637.37","10,067,797.48"
Fiscal 2011/12,Thompson Okanagan,Okanagan-Similkameen Regional District,WINE,"791,292.46","9,424,878.21"
Fiscal 2011/12,Thompson Okanagan,Thompson-Nicola Regional District,BEER,"3,270,954.34","13,626,749.20"
Fiscal 2011/12,Thompson Okanagan,Thompson-Nicola Regional District,REFRESHMENT BEVERAGE,"408,261.03","1,914,436.29"
Fiscal 2011/12,Thompson Okanagan,Thompson-Nicola Regional District,SPIRITS,"436,010.45","13,548,502.21"
Fiscal 2011/12,Thompson Okanagan,Thompson-Nicola Regional District,WINE,"870,074.30","10,836,756.38"
Fiscal 2011/12,Vancouver Island and Coast,Alberni-Clayoquot Regional District,BEER,"1,048,417.66","4,316,659.16"
Fiscal 2011/12,Vancouver Island and Coast,Alberni-Clayoquot Regional District,REFRESHMENT BEVERAGE,"124,713.69","573,644.53"
Fiscal 2011/12,Vancouver Island and Coast,Alberni-Clayoquot Regional District,SPIRITS,"109,575.20","3,390,696.91"
Fiscal 2011/12,Vancouver Island and Coast,Alberni-Clayoquot Regional District,WINE,"255,736.83","3,052,537.26"
Fiscal 2011/12,Vancouver Island and Coast,Capital Regional District,BEER,"5,782,262.38","24,844,215.99"
Fiscal 2011/12,Vancouver Island and Coast,Capital Regional District,REFRESHMENT BEVERAGE,"775,708.99","3,571,766.78"
Fiscal 2011/12,Vancouver Island and Coast,Capital Regional District,SPIRITS,"914,416.04","29,583,597.74"
Fiscal 2011/12,Vancouver Island and Coast,Capital Regional District,WINE,"3,116,611.62","42,209,228.11"
Fiscal 2011/12,Vancouver Island and Coast,Central Coast Regional District,BEER,"151,681.08","632,951.66"
Fiscal 2011/12,Vancouver Island and Coast,Central Coast Regional District,REFRESHMENT BEVERAGE,"24,340.23","108,571.17"
Fiscal 2011/12,Vancouver Island and Coast,Central Coast Regional District,SPIRITS,"15,954.07","479,362.33"
Fiscal 2011/12,Vancouver Island and Coast,Central Coast Regional District,WINE,"21,987.45","243,550.90"
Fiscal 2011/12,Vancouver Island and Coast,Comox Valley Regional District,BEER,"965,522.19","4,106,404.41"
Fiscal 2011/12,Vancouver Island and Coast,Comox Valley Regional District,REFRESHMENT BEVERAGE,"122,108.18","561,284.52"
Fiscal 2011/12,Vancouver Island and Coast,Comox Valley Regional District,SPIRITS,"160,409.31","5,089,323.39"
Fiscal 2011/12,Vancouver Island and Coast,Comox Valley Regional District,WINE,"520,170.01","6,326,036.82"
Fiscal 2011/12,Vancouver Island and Coast,Cowichan Valley Regional District,BEER,"1,377,927.01","5,668,843.32"
Fiscal 2011/12,Vancouver Island and Coast,Cowichan Valley Regional District,REFRESHMENT BEVERAGE,"194,523.17","884,713.05"
Fiscal 2011/12,Vancouver Island and Coast,Cowichan Valley Regional District,SPIRITS,"176,921.30","5,430,071.78"
Fiscal 2011/12,Vancouver Island and Coast,Cowichan Valley Regional District,WINE,"488,360.74","5,576,525.97"
Fiscal 2011/12,Vancouver Island and Coast,Mount Waddington Regional District,BEER,"578,502.11","2,382,433.81"
Fiscal 2011/12,Vancouver Island and Coast,Mount Waddington Regional District,REFRESHMENT BEVERAGE,"119,036.65","522,442.27"
Fiscal 2011/12,Vancouver Island and Coast,Mount Waddington Regional District,SPIRITS,"61,087.83","1,885,545.28"
Fiscal 2011/12,Vancouver Island and Coast,Mount Waddington Regional District,WINE,"114,256.06","1,268,098.77"
Fiscal 2011/12,Vancouver Island and Coast,Nanaimo Regional District,BEER,"2,324,549.80","9,811,328.42"
Fiscal 2011/12,Vancouver Island and Coast,Nanaimo Regional District,REFRESHMENT BEVERAGE,"288,359.47","1,346,366.13"
Fiscal 2011/12,Vancouver Island and Coast,Nanaimo Regional District,SPIRITS,"395,983.95","12,435,335.37"
Fiscal 2011/12,Vancouver Island and Coast,Nanaimo Regional District,WINE,"1,267,313.14","15,660,076.89"
Fiscal 2011/12,Vancouver Island and Coast,Powell River Regional District,BEER,"361,033.39","1,508,950.42"
Fiscal 2011/12,Vancouver Island and Coast,Powell River Regional District,REFRESHMENT BEVERAGE,"51,444.67","234,127.00"
Fiscal 2011/12,Vancouver Island and Coast,Powell River Regional District,SPIRITS,"57,517.40","1,809,146.10"
Fiscal 2011/12,Vancouver Island and Coast,Powell River Regional District,WINE,"151,570.48","1,744,727.77"
Fiscal 2011/12,Vancouver Island and Coast,Strathcona Regional District,BEER,"739,909.85","3,105,371.12"
Fiscal 2011/12,Vancouver Island and Coast,Strathcona Regional District,REFRESHMENT BEVERAGE,"92,674.14","425,446.63"
Fiscal 2011/12,Vancouver Island and Coast,Strathcona Regional District,SPIRITS,"120,664.31","3,743,757.26"
Fiscal 2011/12,Vancouver Island and Coast,Strathcona Regional District,WINE,"275,996.85","3,182,172.67"
