FISCAL_YEAR_NAME,BC AREA NAME,REGIONAL DISTRICT NAME,PRODUCT CLASS NAME,SALE VOLUME (LITRES),RETAIL AMT ($)
Fiscal 2009/10,Northeast,Northern Rockies Regional District,REFRESHMENT BEVERAGE,"10,889.38","60,545.64"
Fiscal 2009/10,Northeast,Northern Rockies Regional District,SPIRITS,"22,090.93","642,596.91"
Fiscal 2009/10,Northeast,Northern Rockies Regional District,WINE,"19,459.35","234,295.49"
Fiscal 2009/10,Northeast,Peace River-Liard Regional District,BEER,"1,617,042.57","6,625,319.74"
Fiscal 2009/10,Northeast,Peace River-Liard Regional District,REFRESHMENT BEVERAGE,"157,003.97","805,858.21"
Fiscal 2009/10,Northeast,Peace River-Liard Regional District,SPIRITS,"212,958.06","6,239,187.77"
Fiscal 2009/10,Northeast,Peace River-Liard Regional District,WINE,"237,033.66","2,642,238.99"
Fiscal 2009/10,Thompson Okanagan,Central Okanagan Regional District,BEER,"3,391,010.61","13,999,090.37"
Fiscal 2009/10,Thompson Okanagan,Central Okanagan Regional District,REFRESHMENT BEVERAGE,"424,012.39","1,982,214.82"
Fiscal 2009/10,Thompson Okanagan,Central Okanagan Regional District,SPIRITS,"564,535.24","16,856,788.61"
Fiscal 2009/10,Thompson Okanagan,Central Okanagan Regional District,WINE,"1,435,348.81","18,699,088.23"
Fiscal 2009/10,Thompson Okanagan,Columbia-Shuswap Regional District,BEER,"1,155,389.53","4,721,713.90"
Fiscal 2009/10,Thompson Okanagan,Columbia-Shuswap Regional District,REFRESHMENT BEVERAGE,"117,537.83","546,538.67"
Fiscal 2009/10,Thompson Okanagan,Columbia-Shuswap Regional District,SPIRITS,"142,536.35","4,191,130.12"
Fiscal 2009/10,Thompson Okanagan,Columbia-Shuswap Regional District,WINE,"274,594.38","3,217,104.80"
Fiscal 2009/10,Thompson Okanagan,North Okanagan Regional District,BEER,"920,515.46","3,781,178.08"
Fiscal 2009/10,Thompson Okanagan,North Okanagan Regional District,REFRESHMENT BEVERAGE,"123,488.11","571,234.24"
Fiscal 2009/10,Thompson Okanagan,North Okanagan Regional District,SPIRITS,"148,463.25","4,427,214.16"
Fiscal 2009/10,Thompson Okanagan,North Okanagan Regional District,WINE,"336,505.30","4,196,827.72"
Fiscal 2009/10,Thompson Okanagan,Okanagan-Similkameen Regional District,BEER,"2,713,326.76","11,041,646.72"
